PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
ADMIN,7/19/2023,INDUSTRIAL PLUG,Materials,VC,CV0723-70,5,500,2500
ADMIN,7/19/2023,COUNTRY BANKERS INSURANCES,Insurance,OR,1715752,1,11154.78,11154.78
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/19/2023,TESTING BUDGET,Misc. Operation,VC,CV0723-72,1,2500,2500
ADMIN,7/19/2023,PURIFIED WATER,Water Utility,VC,CV0723-73,1,3140,3140
ADMIN,7/20/2023,WELDING APPAREL,PPE,VC,CV0723-74,2,700,1400
ADMIN,7/20/2023,ASSORTED PPE,PPE,VC,CV0723-75,1,7640,7640
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/19/2023,ELCOMETER RENTAL,Materials,VC,CV0723-76,1,1000,1000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/20/2023,VARIOUS MATERIALS PURCHASES,Materials,VC,CV0723-77,1,94057,94057
ADMIN,7/21/2023,BUS LABOR,Repair & Maintenance,VC,CV0723-78,1,1000,1000
ADMIN,7/21/2023,OFFICE SUPPLY,Office Supply,VC,CV0723-79,1,2434,2434
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/21/2023,CUP BRUSH,Materials,VC,CV0723-80,1,3600,3600
ADMIN,7/21/2023,BUS PART,Repair & Maintenance,VC,CV0723-80,1,1030,1030
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/21/2023,DANGER TAPE,Materials,VC,CV0723-80,1,1200,1200
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/21/2023,VARIOUS MATERIALS,Materials,VC,CV0723-81,1,2988,2988
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/21/2023,VARIOUS MATERIALS,Materials,VC,CV0723-81,1,316,316
ADMIN,7/21/2023,BUS PARTS,Repair & Maintenance,OR,24560,1,1350,1350
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/17/2023,SANDBLASTING DOWNPAYMENT,Labor,VC,CV0723-83,1,40000,40000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/20/2023,SANDBLASTING FULL PAYMENT,Labor,VC,CV0723-84,1,45000,45000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/22/2023,WELDING INSPECTOR,Misc. Operation,VC,CV0723-85,1,4000,4000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/22/2023,VARIOUS MATERIALS,Materials,VC,CV0723-89,1,312,312
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/22/2023,PCF VARIOUS PURCHASES PERIOD JULY 17-23,Misc. Admin,VC,CV0723-89,1,4545.4,4545.4
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/22/2023,PAYROLL JULY 10 - 16,Labor,,,1,125928.46,125928.46
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/22/2023,PAYROLL JULY 10 - 16,Labor,,,1,53642.65,53642.65
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/22/2023,PAYROLL JULY 10 - 16,Labor,,,1,89822.88,89822.88
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/22/2023,PAYROLL JULY 10 - 16 (SCAFFOLDERS),Materials,,,1,12959.71,12959.71
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/22/2023,PAYROLL JULY 10 - 16 (SCAFFOLDERS),Materials,,,1,12959.71,12959.71
ADMIN,7/22/2023,PAYROLL JULY 10 - 16 (OVERHEAD),Overhead payroll,,,1,44700.08,44700.08
ADMIN,7/22/2023,PAYROLL JULY 10 - 16 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,7/24/2023,SAFETY HARNESS,PPE,VC,CV0723-,7,2500,17500
ADMIN,7/25/2023,ELCOMETER,Tools and Equip,VC,CV0723-91,1,2229,2229
ADMIN,7/25/2023,ASSORTED PPE,PPE,VC,CV0723-92,1,10200,10200
ADMIN,7/25/2023,ASSORTED PPE,PPE,VC,CV0723-93,1,6370,6370
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/26/2023,FORKLIFT TIP,Misc. Operation,VC,CV0723-94,1,1000,1000
ADMIN,7/26/2023,ELECTRIC DRILL,Tools and Equip,VC,CV0723-95,1,2000,2000
ADMIN,7/26/2023,ROYAL CHORD,Tools and Equip,VC,CV0723-96,1,7500,7500
ADMIN,7/26/2023,CUTTING OUTFIT,Tools and Equip,VC,CV0723-96,1,9000,9000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/26/2023,TESTING BUDGET,Misc. Operation,VC,CV0723-97,1,2500,2500
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/27/2023,SAFETY HARNESS,Tools and Equip,VC,CV0723-98,1,10000,10000
ADMIN,7/27/2023,CANTER REPAIR,Repair & Maintenance,VC,CV0723-99,1,2500,2500
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/27/2023,VARIOUS PURCHASED MATERIALS,Materials,VC,CV0723-100,1,198170.17,198170.17
ADMIN,7/28/2023,GLOVES,PPE,VC,CV0723-101,10,300,3000
ADMIN,7/28/2023,MATLANG RENTAL,Rental,VC,CV0723-102,1,10000,10000
ADMIN,7/28/2023,INDUSTRIAL SOCKET,Materials,VC,CV0723-103,1,1500,1500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/29/2023,FORKLIFT TIP,Misc. Operation,VC,CV0723-104,1,1700,1700
ADMIN,7/29/2023,SAFETY GLOVES,PPE,VC,CV0723-105,1,4682.7,4682.7
ADMIN,7/29/2023,GAUGE REPAIR,Repair & Maintenance,VC,CV0723-106,1,1200,1200
ADMIN,7/29/2023,CANTER REPAIR,Repair & Maintenance,VC,CV0723-107,1,5330,5330
ADMIN,7/29/2023,OFFICE SUPPLIES,Office Supply,VC,CV0723-107,1,2265,2265
ADMIN,7/29/2023,STRADA FUELS,Fuels,VC,CV0723-108,1,1170,1170
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/29/2023,ASSORTED MATERIALS,Materials,VC,CV0723-109,1,600,600
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/29/2023,ASSORTED MATERIALS,Materials,VC,CV0723-109,1,2894,2894
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/29/2023,ASSORTED MATERIALS,Materials,VC,CV0723-109,1,525,525
ADMIN,7/29/2023,"PCF VARIOUS PURCHASES JULY 31, 2023",Misc. Admin,VC,CV0723-115,1,2120,2120
ADMIN,7/29/2023,"PCF VARIOUS PURCHASES JULY 24-30, 2023",Misc. Admin,VC,CV0723-115,1,4324.75,4324.75
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/29/2023,PAYROLL JULY 17 - 23,Labor,,,1,106153.67,106153.67
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",7/29/2023,PAYROLL JULY 17 - 23,Labor,,,1,58556.64,58556.64
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/29/2023,PAYROLL JULY 17 - 23,Labor,,,1,78524.87,78524.87
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),7/29/2023,PAYROLL JULY 17 - 23 (SCAFFOLDER),Materials,,,1,9422.33,9422.33
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),7/29/2023,PAYROLL JULY 17 - 23 (SCAFFOLDER),Materials,,,1,9422.33,9422.33
ADMIN,7/29/2023,PAYROLL JULY 17 - 23 (OVERHEAD),Overhead payroll,,,1,41198.05,41198.05
ADMIN,7/29/2023,PAYROLL JULY 17 - 23 (SAKI),Overhead payroll,,,1,17550,17550
ADMIN,7/29/2023,PAYROLL JULY 17 - 23 (UTILITIES),Overhead payroll,,,1,3100,3100
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/5/2023,PAYROLL JULY 24 - 30 ,Labor,,,1,139288.32,139288.32
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",8/5/2023,PAYROLL JULY 24 - 30 ,Labor,,,1,58783.32,58783.32
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/5/2023,PAYROLL JULY 24 - 30 ,Labor,,,1,88889.38,88889.38
21054297 (XRF CHILLER ROOM EXPASNION),8/5/2023,PAYROLL JULY 24 - 30 ,Labor,,,1,13389.18,13389.18
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/5/2023,PAYROLL JULY 24 - 30 (SCAFFOLDERS),Materials,,,1,20231.74,20231.74
ADMIN,8/5/2023,PAYROLL JULY 24 - 30 (OVERHEAD),Overhead payroll,,,1,42881.91,42881.91
ADMIN,8/5/2023,PAYROLL JULY 24 - 30 (UTILITIES),Overhead payroll,,,1,3100,3100
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/1/2023,SOP,SOP/ Project,VC,CV0823-01,1,1000,1000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/2/2023,TESTING,Misc. Operation,VC,CV0823-02,1,2500,2500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/2/2023,DINNER,Misc. Operation,VC,CV0823-03,1,1000,1000
ADMIN,8/2/2023,BOOKEEPING FEE FEB - JULY 2023,Misc. Admin,VC,CV0823-04,1,3000,3000
ADMIN,8/3/2023,2ND QUARTER INCOME TAX 2023,Misc. Admin,VC,CV0823-05,1,5722,5722
ADMIN,8/3/2023,KIA SPORTAGE REPAIR,Repair & Maintenance,VC,CV0823-06,1,2430,2430
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/3/2023,TESTING FURNACE,Misc. Operation,VC,CV0823-07,1,2500,2500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/3/2023,DINNER,Misc. Operation,VC,CV0823-08,1,1000,1000
ADMIN,8/4/2023,SPONSOR,Misc. Admin,VC,CV0823-09,1,1000,1000
ADMIN,8/4/2023,FABRICATION STEEL POOR,Misc. Admin,VC,CV0823-10,1,32750,32750
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/4/2023,GFCI OUTLET,Materials,VC,CV0823-11,6,800,4800
ADMIN,8/4/2023,SAFETY HARNESS,PPE,VC,CV0823-11,6,1500,9000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/5/2023,CLADDING PAKYAW,Labor,VC,CV0823-15,1,12000,12000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/5/2023,SIKA ANCHOR FIX,Materials,VC,CV0823-16,1,7561,7561
ADMIN,8/5/2023,LASER LEVELER,Tools and Equip,VC,CV0823-16,1,2345,2345
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/5/2023,DINNER,Misc. Operation,VC,CV0823-17,1,1000,1000
ADMIN,8/5/2023,SAFETY HARNESS,PPE,VC,CV0823-18,3,1500,4500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/2/2023,DINNER,Misc. Operation,VC,PCF0823-02,1,750,750
ADMIN,8/5/2023,PCF VARIOUS PURCHASES AUG. 1 - 6,Misc. Admin,VC,CV0823 - 19,1,2232.27,2232.27
ADMIN,8/11/2023,STRADA FUELS,Fuels,VC,CV0823-20,1,3500,3500
ADMIN,8/11/2023,ELECTRIC BILL,Power Utility,VC,CV0823-21,1,13124.43,13124.43
ADMIN,8/11/2023,INTEREST,Misc. Admin,VC,CV0823-22,1,68500,68500
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/11/2023,TESTING,Misc. Operation,VC,CV0823-23,1,2500,2500
ADMIN,8/11/2023,SAFETY SHOES,PPE,VC,CV0823-24,1,1400,1400
ADMIN,8/11/2023,SAFETY HARNESS,PPE,VC,CV0823-25,10,2500,25000
ADMIN,8/12/2023,ASSORTED PPE,PPE,VC,CV0823-26,1,1900,1900
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/12/2023,CLADDING PAKYAW,Labor,VC,CV0823-31,1,10000,10000
ADMIN,8/12/2023,PCF VARIOUS PURCHASES AUG. 7 - 13,Misc. Admin,VC,CV0823-32,1,3506,3506
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/12/2023,PAYROLL JULY 31 - AUG. 6,Labor,,,1,156230.75,156230.75
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",8/12/2023,PAYROLL JULY 31 - AUG. 6,Labor,,,1,70283.34,70283.34
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/12/2023,PAYROLL JULY 31 - AUG. 6,Labor,,,1,94302.38,94302.38
21054297 (XRF CHILLER ROOM EXPASNION),8/12/2023,PAYROLL JULY 31 - AUG. 6,Labor,,,1,13146.56,13146.56
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/12/2023,PAYROLL JULY 31 - AUG. 6 (SCAFFOLDERS),Materials,,,1,38096.86,38096.86
ADMIN,8/12/2023,PAYROLL JULY 31 - AUG. 6 (OVERHEAD),Overhead payroll,,,1,47305.76,47305.76
ADMIN,8/12/2023,PAYROLL JULY 31 - AUG. 6 (SAKI),Overhead payroll,,,1,3100,3100
ADMIN,8/12/2023,PAYROLL JULY 31 - AUG. 6 (UTILITIES),Overhead payroll,,,1,14300,14300
ADMIN,8/14/2023,SAFETY GLASSES (DARK),PPE,VC,CV0823-33,1,1650,1650
ADMIN,8/15/2023,CARBIDE,PPE,VC,CV0823-34,1,1260,1260
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/15/2023,TESTING,Materials,VC,CV0823-35,1,2500,2500
ADMIN,8/17/2023,PURIFIED WATER,Water Utility,VC,CV0823-36,1,2760,2760
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/17/2023,PIPING RENTALS,Misc. Operation,VC,CV0823-37,1,1000,1000
ADMIN,8/19/2023,STRADA FUELS,Fuels,VC,CV0823-38,1,2000,2000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/19/2023,CLADDING PAKYAW,Labor,VC,CV0823-44,1,18000,18000
ADMIN,8/19/2023,PCF VARIOUS PURCHASES AUG 14 - 20,Misc. Admin,VC,CV0823-45,1,2500,2500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/19/2023,PAYROLL AUGUST 7 - 13,Labor,,,1,142860.57,142860.57
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",8/19/2023,PAYROLL AUGUST 7 - 13,Labor,,,1,66774.15,66774.15
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/19/2023,PAYROLL AUGUST 7 - 13,Labor,,,1,95276.98,95276.98
21054297 (XRF CHILLER ROOM EXPASNION),8/19/2023,PAYROLL AUGUST 7 - 13,Labor,,,1,10754.23,10754.23
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/19/2023,PAYROLL AUGUST 7 - 13 (SCAFFOLDERS),Materials,,,1,24955.92,24955.92
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/19/2023,PAYROLL AUGUST 7 - 13 (SCAFFOLDERS),Materials,,,1,6238.98,6238.98
ADMIN,8/19/2023,PAYROLL AUGUST 7 - 13 (OVERHEAD),Overhead payroll,,,1,35608.25,35608.25
ADMIN,8/19/2023,PAYROLL AUGUST 7 - 13 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,8/19/2023,PAYROLL AUGUST 7 - 13 (SAKI),Overhead payroll,,,1,9490,9490
ADMIN,8/22/2023,WELDING MASK,PPE,VC,CV0823-46,1,1888,1888
ADMIN,8/22/2023,BUS REPAIR PARTS,Repair & Maintenance,VC,CV0823-47,1,2100,2100
ADMIN,8/22/2023,EXTENSION WIRE,Tools and Equip,VC,CV0823-48,1,3021.5,3021.5
ADMIN,8/22/2023,STRADA SERVICE PIESA,Repair & Maintenance,VC,CV0823-49,1,13852,13852
ADMIN,8/22/2023,CAR RENTAL FUEL,Fuels,VC,CV0823-50,1,4984,4984
ADMIN,8/22/2023,FILTER,PPE,VC,CV0823-51,25,70,1750
ADMIN,8/22/2023,RESPIRATOR,PPE,VC,CV0823-51,2,800,1600
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/22/2023,CONCRETE TESTING,Materials,VC,CV0823-53,1,2500,2500
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/23/2023,TRAUMA STRAP,Tools and Equip,VC,CV0823-54,1,5656,5656
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/24/2023,PVC WELDING MACHINE,Tools and Equip,VC,CV0823-55,1,1000,1000
ADMIN,8/24/2023,ASSORTED PPE,PPE,VC,CV0823-56,1,4200,4200
ADMIN,8/25/2023,ASSORTED PPE,PPE,VC,CV0823-56,1,12280,12280
ADMIN,8/26/2023,ASSORTED PPE,PPE,VC,CV0823-58,1,5290,5290
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,TORQUE WRENCH RENTAL,Tools and Equip,VC,CV0823-59,1,2000,2000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,NIGHSHIFT SNACKS,Materials,VC,CV0823-60,1,1000,1000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/26/2023,TESTING,Materials,VC,CV0823-61,1,2500,2500
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,FRP PAKYAW,Labor,VC,CV0823-66,1,10000,10000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,WELDING PAKYAW,Labor,VC,CV0823-67,1,3000,3000
ADMIN,8/26/2023,PCF VARIOUS PURCHASES AUG. 21-27,Misc. Admin,VC,CV0823-68,1,3166,3166
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,PAYROLL AUG. 14 - 20,Labor,,,1,78661.29,78661.29
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",8/26/2023,PAYROLL AUG. 14 - 20,Labor,,,1,67028.84,67028.84
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/26/2023,PAYROLL AUG. 14 - 20,Labor,,,1,80695.49,80695.49
21054297 (XRF CHILLER ROOM EXPASNION),8/26/2023,PAYROLL AUG. 14 - 20,Labor,,,1,10168.73,10168.73
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/26/2023,PAYROLL AUG. 14 - 20 (SCAFFOLDER),Materials,,,1,20096.032,20096.032
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),8/26/2023,PAYROLL AUG. 14 - 20 (SCAFFOLDER),Materials,,,1,5024.1,5024.1
ADMIN,8/26/2023,PAYROLL AUG. 14 - 20 (OVERHEAD),Overhead payroll,,,1,36656.84,36656.84
ADMIN,8/26/2023,PAYROLL AUG. 14 - 20 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,8/26/2023,PAYROLL AUG. 14 - 20 (SAKI),Overhead payroll,,,1,7800,7800
ADMIN,8/29/2023,ASSORTED PPE,PPE,VC,CV0823-69,1,7060,7060
ADMIN,8/30/2023,ASSORTED PPE,PPE,VC,CV0823-70,1,2250,2250
ADMIN,8/30/2023,TEMPFACIL RENTAL,Misc. Admin,VC,CV0823-71,1,5000,5000
ADMIN,8/31/2023,RESPIRATOR MASK,PPE,VC,CV0823-72,1,2750,2750
ADMIN,8/31/2023,BOOKKEEPER SERVICE FEE AUGUST,Misc. Admin,VC,CV0823-73,1,3000,3000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),8/31/2023,PAKYAW PIPIING WELDING,Labor,VC,CV0823-74,1,10000,10000
ADMIN,8/31/2023,ELECTRICAL BILL,Misc. Admin,VC,CV0823-75,1,26435.79,26435.79
ADMIN,8/31/2023,FACESHIELD AND DAGERTAPE,Misc. Admin,VC,CV0823-76,1,2890,2890
ADMIN,8/31/2023,STRADA OVERHAUL,Repair & Maintenance,VC,CV0823-77,1,21000,21000
ADMIN,8/31/2023,FUELS,Fuels,VC,CV0823-78,1,1000,1000
ADMIN,8/31/2023,OFFICE SUPPLIES,Office Supply,VC,CV0823-79,1,1217,1217
ADMIN,8/31/2023,STRADA FUELS,Fuels,VC,CV0823-80,1,3914.79,3914.79
ADMIN,8/31/2023,1 MONTH INTEREST,Misc. Admin,VC,CV0823-81,1,125000,125000
ADMIN,8/31/2023,LOAN INTEREST,Misc. Admin,VC,CV0823-82,1,25000,25000
ADMIN,8/31/2023,FUELS,Fuels,VC,CV0823-83,1,1200,1200
ADMIN,8/31/2023,OXY/ACY,Materials,VC,CV0823-84,1,3400,3400
ADMIN,8/31/2023,PCF VARIOUS PURCHASES AUG.28 - SEPT. 3,Misc. Admin,VC,CV0823-85,1,2278,2278
ADMIN,9/1/2023,RESPIRATOR FACE PIECE,PPE,VC,CV0923-01,1,6000,6000
ADMIN,9/1/2023,BILWANG TEMPFACIL RENTAL,Misc. Admin,VC,CV0923-02,1,4070,4070
ADMIN,9/1/2023,HARNESS,PPE,VC,CV0923-03,2,2500,5000
ADMIN,9/1/2023,HARNESS,PPE,VC,CV0923-04,6,2500,15000
ADMIN,9/1/2023,TRAUMA STRAP,PPE,VC,CV0923-05,1,2515,2515
ADMIN,9/2/2023,SAFETY HARNESS,PPE,VC,CV0923-06,2,2500,5000
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/2/2023,PAKYAW WELDING PAYMENT,Labor,VC,CV0923-11,1,12000,12000
ADMIN,9/2/2023,"PCF VARIOUS PURCHASES SEPT. 1 - 3, 2023",Misc. Admin,VC,CV0923-12,1,3217.79,3217.79
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/2/2023,PAYROLL AUG. 21 - 27,Labor,,,1,80505.09,80505.09
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",9/2/2023,PAYROLL AUG. 21 - 27,Labor,,,1,47597.59,47597.59
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/2/2023,PAYROLL AUG. 21 - 27,Labor,,,1,73234.69,73234.69
21054297 (XRF CHILLER ROOM EXPASNION),9/2/2023,PAYROLL AUG. 21 - 27,Labor,,,1,12741.47,12741.47
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/2/2023,PAYROLL AUG. 21 - 27 (SCAFFOLDERS),Materials,,,1,12426.88,12426.88
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/2/2023,PAYROLL AUG. 21 - 27 (SCAFFOLDERS),Materials,,,1,5325.81,5325.81
ADMIN,9/2/2023,PAYROLL AUG. 21 - 27 (OVERHEAD),Overhead payroll,,,1,36908.43,36908.43
ADMIN,9/2/2023,PAYROLL AUG. 21 - 27 (UTILITIES),Overhead payroll,,,1,2500,2500
ADMIN,9/2/2023,PAYROLL AUG. 21 - 27 (SAKI),Overhead payroll,,,1,6500,6500
ADMIN,9/4/2023,GRINDER,Tools and Equip,VC,CV0923-13,1,1150,1150
ADMIN,9/4/2023,5% LOAN INTEREST,Misc. Admin,VC,CV0923-14,1,100000,100000
ADMIN,9/5/2023,COMPUTER REPAIR,Misc. Admin,VC,CV0923-15,1,1000,1000
ADMIN,9/5/2023,LOAN INTEREST,Misc. Admin,VC,CV0923-16,1,18500,18500
ADMIN,9/6/2023,ASSORTED PPE,PPE,VC,CV0923-17,1,2090,2090
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/6/2023,TESTING,Misc. Operation,VC,CV0923-18,1,2500,2500
ADMIN,9/7/2023,LOAN INTEREST,Misc. Admin,VC,CV0923-19,1,7500,7500
ADMIN,9/8/2023,PURIFIED WATER,Misc. Admin,VC,CV0923-20,1,1220,1220
ADMIN,9/8/2023,BUS FLOORING LABOR,Repair & Maintenance,VC,CV0923-21,1,4000,4000
ADMIN,9/8/2023,SAFETY HARNESS,Tools and Equip,VC,CV0923-22,2,2500,5000
ADMIN,9/8/2023,SAFETY HARNESS,Tools and Equip,VC,CV0923-23,2,2500,5000
